"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","season"
"Elijah McGuire","RB","121.2","11.82","4.53","321","30.7","6.04","2017","2022"
"Elijah Mitchell","RB","127.8","11.14","4.4","245","28.8","6.1","2021","2022"
"Elijhaa Penny","RB","102.5","11.75","4.86","401","32.2","","2016","2022"
"Eno Benjamin","RB","127.3","11.22","4.57","362","30.6","7.08","2020","2022"
"Ezekiel Elliott","RB","114.3","","4.47","378","30.5","1.04","2016","2022"
"Gabe Nabers","RB","126","","4.71","233","31.2","","2020","2022"
"Gary Brightwell","RB","117.7","11.99","4.67","170","30.4","6.12","2021","2022"
"George Farmer","RB","120.2","11.27","4.45","73","27","","2015","2022"
"Giovani Bernard","RB","118","11.03","4.53","356","30.7","2.05","2013","2022"
"Giovanni Ricci","RB","","","4.85","293","30","","2020","2022"
"Godwin Igwebuike","RB","124.4","10.68","4.44","0","29.7","","2018","2022"
"Gus Edwards","RB","120.2","11.46","4.57","264","30.2","","2018","2022"
"Gus Johnson","RB","122.1","11.22","4.7","363","30.8","","2015","2022"
"Hassan Haskins","RB","","","","284","29.3","4.26","2022","2022"
"Isaiah Spiller","RB","113.1","","4.69","237","29.4","4.18","2022","2022"
"Isiah Pacheco","RB","115.1","11.36","4.37","265","31","7.3","2022","2022"
"Ito Smith","RB","121.6","11.78","4.5","339","29.5","4.26","2018","2022"
"J.D. McKissic","RB","123.9","11.44","4.62","102","26.8","","2016","2022"
"J.J. Taylor","RB","117.7","11.15","4.61","191","30.8","","2020","2022"
"J.K. Dobbins","RB","","","4.37","284","30","2.23","2020","2022"
"JaMycal Hasty","RB","127.8","","4.55","128","31.2","","2020","2022"
"JaQuan Hardy","RB","115.6","11.12","4.61","328","32.1","","2021","2022"
"Jacques Patrick","RB","109","11.94","4.74","156","29","","2019","2022"
"Jahwan Edwards","RB","118.9","12.13","4.8","339","32.5","","2015","2022"
"Jake Funk","RB","125.6","10.83","4.54","286","29.3","7.05","2021","2022"
"Jakob Johnson","RB","","12","5.2","178","31.6","","2018","2022"
"Jalen Rhodes","RB","122.7","11.76","4.67","156","28.1","","2019","2022"
"Jalen Richard","RB","117.4","12.31","4.65","226","31.5","","2016","2022"
"Jalston Fowler","RB","114","11.96","4.94","52","35.4","4.09","2015","2022"
"Jamaal Williams","RB","112.5","11.78","4.59","364","28.7","4.28","2017","2022"
"Jamauri Bogan","RB","114.5","11.53","4.78","224","29.8","","2019","2022"
"James Conner","RB","105.8","11.72","4.65","344","30.7","3.41","2017","2022"
"James Cook","RB","118.1","","4.42","160","27.8","2.31","2022","2022"
"James Robinson","RB","130.5","11.22","4.64","487","32.3","","2020","2022"
"Jaret Patterson","RB","109.5","11.38","4.64","434","31.5","","2021","2022"
"Jarryd Hayne","RB","","","4.58","0","28.2","","2015","2022"
"Jason Cabinda","RB","121.5","11.22","","0","31.5","","2018","2022"
"Jason Huntley","RB","132.7","11.5","4.45","325","27.8","5.27","2020","2022"
"Javon Leake","RB","120.3","","4.65","199","29.2","","2020","2022"
"Javonte Williams","RB","122.7","11.02","4.62","304","30.4","2.03","2021","2022"
"Jaylen Samuels","RB","119.2","11.21","4.54","239","30.5","5.28","2018","2022"
"Jaylen Warren","RB","117.3","11.55","4.55","362","31.5","","2022","2022"
"Jeff Wilson","RB","114.5","11.49","4.62","346","28.5","","2018","2022"
"Jeremy Cox","RB","129.8","11.09","4.47","193","30.2","","2019","2022"
"Jeremy McNichols","RB","120.9","11.21","4.49","414","31.6","5.18","2017","2022"
"Jerick McKinnon","RB","134.9","10.95","4.41","0","30.9","3.32","2014","2022"
"Jermar Jefferson","RB","110.2","11.78","4.65","327","29.6","7.29","2021","2022"
"Jerome Ford","RB","111.7","11.53","4.46","303","29.3","5.13","2022","2022"
"Jhurell Pressley","RB","115.5","11.16","4.45","234","29.6","","2016","2022"
"Joe Kerridge","RB","117.2","11.33","4.94","234","33.2","","2016","2022"
"Joe Mixon","RB","118.5","11.37","4.5","247","30.1","2.16","2017","2022"
"John Kelly","RB","119.5","11.64","4.69","365","31","6.02","2018","2022"
"Jon Hilliman","RB","118.7","11.38","4.54","265","30.1","","2019","2022"
"Jonathan Taylor","RB","122.7","11.25","4.39","418","32.4","2.09","2020","2022"
"Jonathan Ward","RB","","","4.55","308","27.9","","2020","2022"
"Jonathan Williams","RB","","11.26","4.68","254","30.7","5.18","2016","2022"
"Jordan Howard","RB","118.8","11.46","4.64","293","31.2","5.11","2016","2022"
"Jordan Mason","RB","115.6","11.59","4.63","197","31.1","","2022","2022"
"Jordan Scarlett","RB","109","12","4.47","171","29","5.16","2019","2022"
"Jordan Wilkins","RB","119.7","","4.58","248","28.5","5.32","2018","2022"
"Josh Adams","RB","118.8","10.95","4.56","213","27.3","","2018","2022"
"Josh Ferguson","RB","118.7","","4.48","259","29.2","","2016","2022"
"Josh Jacobs","RB","115.5","","4.69","139","31.6","1.24","2019","2022"
"Josh Johnson","RB","117.9","11.56","4.66","89","30.9","","2021","2022"
"Joshua Kelley","RB","113.2","11.23","4.49","224","29.6","4.06","2020","2022"
"Julius Chestnut","RB","114.3","11.37","4.66","441","31.8","","2022","2022"
"Justice Hill","RB","133","","4.4","217","28.4","4.11","2019","2022"
"Justin Davis","RB","108.5","11.21","4.65","145","27.4","","2017","2022"
"Justin Jackson","RB","126.5","10.88","4.52","307","26.2","7.33","2018","2022"
"Kalen Ballage","RB","118","11.26","4.46","206","29.3","4.31","2018","2022"
"Kareem Hunt","RB","121.6","11.75","4.62","287","31","3.22","2017","2022"
"Ke'Shawn Vaughn","RB","112.9","","4.51","404","30.7","3.12","2020","2022"
"Keaontay Ingram","RB","119.7","11.63","4.53","201","30","6.23","2022","2022"
"Keith Ford","RB","129.3","11.5","4.59","185","31.4","","2018","2022"
"Keith Marshall","RB","","11.23","4.31","121","30.5","7.21","2016","2022"
"Kelvin Taylor","RB","110.9","11.43","4.6","293","29.7","6.36","2016","2022"
"Ken Walker","RB","118.8","","4.38","502","31.2","2.09","2022","2022"
"Kene Nwangwu","RB","127.1","11.08","4.37","74","28.5","4.14","2021","2022"
"Kenjon Barner","RB","121.4","11.01","4.52","283","28.9","6.14","2013","2022"
"Kenneth Dixon","RB","124.3","11.25","4.58","424","30.8","4.36","2016","2022"
"Kenneth Farrow","RB","125.6","11.09","4.64","234","32.2","","2016","2022"
"Kenneth Gainwell","RB","120","11.72","4.52","275","30.6","5.06","2021","2022"
"Kenyan Drake","RB","120.2","11.25","4.45","132","27.7","3.1","2016","2022"
"Kerrith Whyte","RB","137.4","11.57","4.42","190","28.3","7.08","2019","2022"
"Kerryon Johnson","RB","131","11.36","4.57","358","28.9","2.11","2018","2022"
"Kevin Harris","RB","128.5","11.65","4.61","311","31.7","6.04","2022","2022"
"Khalil Herbert","RB","113.6","11.24","4.55","253","31","6.32","2021","2022"
"Khari Blasingame","RB","131","11.12","4.6","162","31.6","","2019","2022"
"Kyle Juszczyk","RB","123.4","11.12","4.76","150","32.7","4.33","2013","2022"
"Kylin Hill","RB","122.2","11.55","4.62","242","29.8","7.28","2021","2022"
"Kyren Williams","RB","112.4","11.4","4.65","306","28.6","5.21","2022","2022"
"La'Mical Perine","RB","118.5","11.44","4.62","222","30.1","4.14","2020","2022"
"Larry Rountree","RB","105","11.43","4.75","367","29.4","6.14","2021","2022"
"Latavius Murray","RB","123.2","11.17","4.43","347","28.6","6.13","2013","2022"
"Lawrence Thomas","RB","116","12","4.98","0","35.7","","2016","2022"
"Le'Veon Bell","RB","112.6","10.99","4.6","451","30.3","2.16","2013","2022"
"LeShun Daniels","RB","118.2","11.11","4.55","258","31","","2017","2022"
"Leonard Fournette","RB","","","4.51","388","30.9","1.04","2017","2022"
"Levante Bellamy","RB","129.7","","4.5","337","28.4","","2020","2022"
"Malcolm Brown","RB","117.2","11.01","4.62","206","31.2","","2015","2022"
"Malik Davis","RB","130.7","11.36","4.71","161","29.8","","2022","2022"
"Mark Ingram","RB","110.1","11.75","4.62","328","31.7","1.28","2011","2022"
"Mark Walton","RB","112.6","11.45","4.6","275","29","4.12","2018","2022"
"Marlon Mack","RB","122.9","","4.5","298","29.7","4.37","2017","2022"
"Marquez Williams","RB","110.7","12.24","4.78","16","36.3","7.22","2017","2022"
"Marshaun Coprich","RB","113.8","11.84","4.47","397","31.5","","2016","2022"
"Matt Breida","RB","138.4","11.19","4.44","218","28.8","","2017","2022"
"Matthew Dayes","RB","102.1","11.7","4.71","290","30.3","7.34","2017","2022"
"Mekhi Sargent","RB","113.5","11.38","4.74","204","31.6","","2021","2022"
