"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","catch_radius","vertical_jump","height_in","weight_lb","college_level_of_competition","season"
"Malik Turner","WR","","","4.65","265","25.9","","2018","","","74","202","10.3","2022"
"Marcell Ateman","WR","118.3","11.32","4.62","222","25.6","7.1","2018","10.1","34","77","216","65.4","2022"
"Marcus Johnson","WR","130.4","11.65","4.44","126","26.9","","2016","9.99","37","73","204","","2022"
"Marcus Kemp","WR","123.4","11.46","4.59","333","25","","2017","10.03","35.5","75","200","","2022"
"Marken Michel","WR","122.9","11.46","4.62","171","26.9","","2016","9.75","35.5","71","193","","2022"
"Marquez Callaway","WR","127.6","","4.55","331","27","","2020","","38","73","205","-13.8","2022"
"Marquez Stevenson","WR","117.1","10.9","4.53","375","25.8","6.19","2021","9.9","33","70","180","47.3","2022"
"Marquez Valdes-Scantling","WR","113.9","11.02","4.37","267","25.1","5.37","2018","10.09","30.5","76","206","-43.1","2022"
"Marquise Brown","WR","","","4.32","306","24.5","1.25","2019","","","69","166","99.9","2022"
"Marquise Goodwin","WR","134","10.75","4.27","136","27","3.16","2013","10.27","40","69","183","64","2022"
"Marvin Hall","WR","130.5","11.1","4.45","63","28.4","","2016","10.05","40","69","192","","2022"
"Marvin Jones","WR","112.1","10.92","4.46","263","25.7","5.31","2012","10.14","33","74","200","43","2022"
"Matthew Slater","WR","","","4.45","0","27.2","5.18","2008","","","71","195","","2022"
"Maurice Alexander","WR","","","","155","25.8","","2020","","","70","180","","2022"
"Mecole Hardman","WR","121.6","11","4.33","187","26.8","2.24","2019","10.03","36.5","70","187","68","2022"
"Michael Bandy","WR","","","","363","28.8","","2020","","","69","195","","2022"
"Michael Gallup","WR","122.2","11.32","4.51","374","27","3.17","2018","10","36","73","205","-34.5","2022"
"Michael Pittman","WR","122.6","11.1","4.52","328","27.1","2.02","2020","10.25","36.5","76","223","52.2","2022"
"Michael Thomas","WR","122.5","10.93","4.57","396","26.5","2.16","2016","10.17","35","75","212","44.9","2022"
"Mike Evans","WR","124.2","11.34","4.53","302","27.4","1.07","2014","10.32","37","77","231","99.9","2022"
"Mike Strachan","WR","123","11.32","4.59","547","26.8","7.01","2021","10.18","35","77","226","0","2022"
"Mike Thomas","WR","124.2","11.32","4.59","351","26.4","6.31","2016","10.06","36","73","200","30.7","2022"
"Mike Williams","WR","115.8","","4.59","270","26.5","1.07","2017","","32.5","76","218","75.4","2022"
"Mike Woods","WR","121.2","11.53","4.55","190","26.9","6.24","2022","9.92","34.5","73","204","99.9","2022"
"Miles Boykin","WR","144","10.84","4.42","301","26.8","3.29","2019","10.65","43.5","76","220","45.2","2022"
"Mohamed Sanu","WR","124.2","11.1","4.67","359","27.8","3.19","2012","10.09","36","73","211","-11.2","2022"
"Montrell Washington","WR","123.2","11.57","4.53","331","26.7","5.2","2022","9.69","36","69","181","0","2022"
"N'Keal Harry","WR","126.5","11.33","4.53","439","29.3","1.32","2019","10.19","38.5","74","228","10.5","2022"
"Nelson Agholor","WR","124.6","11.17","4.42","324","26.9","1.2","2015","10.08","36.5","72","198","5.5","2022"
"Nick Westbrook-Ikhine","WR","","","4.57","258","27","","2020","","","75","216","33.6","2022"
"Nico Collins","WR","126.3","11.11","4.5","273","26.2","3.25","2021","10.32","37.5","76","215","67.9","2022"
"Noah Brown","WR","","11.4","4.64","224","28.5","7.21","2017","","","74","222","99.9","2022"
"Nsimba Webster","WR","114.1","11","4.6","314","26","","2019","9.75","31.5","69","176","","2022"
"Odell Beckham","WR","126.5","10.63","4.43","345","27.6","1.12","2014","10.33","38.5","71","198","84","2022"
"Olabisi Johnson","WR","126.6","11.04","4.51","203","27.7","7.33","2019","10.11","38","72","204","-34.5","2022"
"Olamide Zaccheaus","WR","122.9","11.19","4.54","365","28.6","","2019","9.84","35.5","68","188","19.3","2022"
"Parris Campbell","WR","135.5","","4.31","235","27.8","2.27","2019","","40","72","205","99.9","2022"
"Penny Hart","WR","112.5","12.39","4.68","320","27.4","","2019","9.33","33.5","68","180","11.4","2022"
"Pharoh Cooper","WR","110.9","11.41","4.7","431","28.3","4.19","2016","9.68","30.5","71","203","22.8","2022"
"Phillip Dorsett","WR","123.9","10.81","4.33","326","26.5","1.29","2015","10.12","37","70","185","2.4","2022"
"Preston Williams","WR","111.6","11.46","4.66","453","25.7","","2019","9.92","31.5","76","211","-34.5","2022"
"Quez Watkins","WR","124.6","11.64","4.35","368","25.1","6.21","2020","10.02","36.5","72","185","-39.6","2022"
"Quintez Cephus","WR","127.5","11.53","4.73","357","26.6","5.21","2020","9.99","38.5","73","202","18.4","2022"
"Racey McMath","WR","120.3","11.77","4.44","88","27.1","6.21","2021","9.9","34","74","211","92.9","2022"
"Randall Cobb","WR","114.5","11.42","4.46","282","27.5","2.32","2011","9.79","33.5","70","192","19.9","2022"
"Rashard Davis","WR","120.9","10.95","4.52","171","26.3","","2017","9.86","35.5","68","173","","2022"
"Rashard Higgins","WR","112.4","11.66","4.64","436","25.9","5.35","2016","9.73","32","73","196","-43.1","2022"
"Rashid Shaheed","WR","","","","290","24.4","","2022","","","72","180","","2022"
