"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","catch_radius","vertical_jump","height_in","weight_lb","college_level_of_competition","season"
"Ethan Wolf","TE","106.6","11.43","5.03","195","29.1","","2018","9.84","29.5","78","252","","2022"
"Evan Baylis","TE","107.8","11.62","4.92","42","28.9","","2017","9.77","29","77","244","","2022"
"Evan Engram","TE","125.5","11.15","4.42","295","29.2","1.23","2017","10.29","36","75","234","","2022"
"Feleipe Franks","TE","115.4","11.38","4.66","0","27","","2021","10.15","32.5","78","234","","2022"
"Foster Moreau","TE","124.4","11.27","4.66","123","30.8","4.35","2019","10.25","36.5","76","253","","2022"
"Gabe Holmes","TE","114.6","11.61","4.93","102","30.8","","2015","9.96","33.5","77","260","","2022"
"Garrett Griffin","TE","121.5","11.69","4.8","253","28.8","","2016","9.96","36","76","237","","2022"
"Geoff Swaim","TE","124.1","11.83","4.75","49","29.5","7.29","2015","9.99","35.5","76","242","","2022"
"George Kittle","TE","127.3","10.83","4.52","232","30.1","5.02","2017","10.35","35","76","247","","2022"
"Gerald Christian","TE","","12.32","4.87","178","30.5","7.39","2015","","","75","244","","2022"
"Gerald Everett","TE","128.6","11.32","4.62","317","29.9","2.12","2017","10.2","37.5","75","239","","2022"
"Grant Calcaterra","TE","","11.39","4.62","129","29.6","6.2","2022","10.08","32.5","76","243","","2022"
"Greg Dulcich","TE","120.5","11.42","4.7","273","29.6","3.16","2022","10.07","34","76","243","","2022"
"Hakeem Butler","TE","127","11.25","4.48","435","26.9","4.01","2019","10.39","36","77","227","39.3","2022"
"Hakeem Valles","TE","117.6","11.74","4.74","84","30.2","","2016","9.91","33.5","75","242","","2022"
"Hale Hentges","TE","112.1","11.92","5.09","115","30.8","","2019","9.77","33.5","76","253","","2022"
"Harold Spears","TE","122.9","11.78","4.8","183","31","","2015","9.96","36.5","76","255","","2022"
"Harrison Bryant","TE","111.9","11.78","4.73","262","28.8","4.09","2020","9.86","32.5","77","243","","2022"
"Hayden Hurst","TE","115.1","11.56","4.67","156","29.6","1.25","2018","9.95","31.5","77","250","","2022"
"Henry Krieger-Coble","TE","113.6","11.64","4.96","102","31.1","","2016","9.83","33.5","75","249","","2022"
"Hunter Bryant","TE","114.4","11.54","4.74","209","31.8","","2020","9.84","32.5","74","248","","2022"
"Hunter Henry","TE","111.6","11.57","4.73","201","29.6","2.04","2016","9.94","31.5","77","250","","2022"
"Hunter Kampmoyer","TE","110.8","11.84","4.88","129","29.6","","2021","9.7","31","76","243","","2022"
